date,adj close,close,high,low,open,volume
2026-02-25,27.93000030517578,27.93000030517578,29.0,25.280000686645508,28.110000610351562,78610
2026-02-26,27.469999313354492,27.469999313354492,28.979999542236328,27.110000610351562,27.899999618530273,29750
2026-02-27,27.290000915527344,27.290000915527344,28.290000915527344,27.020000457763672,28.049999237060547,24816
2026-03-02,26.670000076293945,26.670000076293945,28.299999237060547,25.31999969482422,26.0,22380
2026-03-04,25.15999984741211,25.15999984741211,26.950000762939453,24.5,25.0,34167
2026-03-05,25.3700008392334,25.3700008392334,26.479999542236328,25.020000457763672,25.020000457763672,52023
2026-03-06,25.309999465942383,25.309999465942383,26.18000030517578,24.90999984741211,25.25,12734
2026-03-09,24.350000381469727,24.350000381469727,24.799999237060547,22.989999771118164,24.549999237060547,17335
2026-03-10,24.09000015258789,24.09000015258789,25.100000381469727,23.5,24.360000610351562,19391
2026-03-11,26.290000915527344,26.290000915527344,28.299999237060547,24.010000228881836,24.399999618530273,30255
2026-03-12,25.309999465942383,25.309999465942383,27.0,24.799999237060547,26.81999969482422,18118
2026-03-13,24.5,24.5,26.489999771118164,24.299999237060547,25.309999465942383,3792
2026-03-16,24.270000457763672,24.270000457763672,27.0,23.09000015258789,24.5,14894
2026-03-17,24.530000686645508,24.530000686645508,25.989999771118164,24.280000686645508,25.989999771118164,37629
2026-03-18,25.020000457763672,25.020000457763672,26.489999771118164,24.329999923706055,24.530000686645508,462786
2026-03-19,25.719999313354492,25.719999313354492,27.0,24.649999618530273,25.0,624485
2026-03-20,25.770000457763672,25.770000457763672,30.450000762939453,25.25,26.700000762939453,190160
2026-03-23,24.920000076293945,24.920000076293945,28.290000915527344,24.5,25.770000457763672,41243
2026-03-24,24.899999618530273,24.899999618530273,26.790000915527344,24.40999984741211,26.790000915527344,40356
2026-03-25,24.6200008392334,24.6200008392334,25.850000381469727,24.309999465942383,24.899999618530273,42064
2026-03-27,22.809999465942383,22.809999465942383,25.09000015258789,21.549999237060547,24.75,58949
2026-03-30,21.690000534057617,21.690000534057617,23.3799991607666,21.0,23.149999618530273,41776
2026-04-01,23.559999465942383,23.559999465942383,26.020000457763672,21.5,21.5,104252
2026-04-02,23.059999465942383,23.059999465942383,23.670000076293945,22.6200008392334,22.649999618530273,21432
2026-04-06,23.84000015258789,23.84000015258789,24.489999771118164,22.5,22.700000762939453,10371
2026-04-07,24.170000076293945,24.170000076293945,25.540000915527344,23.010000228881836,23.84000015258789,110736
2026-04-08,23.399999618530273,23.399999618530273,25.399999618530273,22.899999618530273,24.899999618530273,206754
2026-04-09,23.170000076293945,23.170000076293945,24.0,22.399999618530273,23.969999313354492,26019
2026-04-10,23.190000534057617,23.190000534057617,23.770000457763672,22.989999771118164,23.0,23046
2026-04-13,23.34000015258789,23.34000015258789,23.799999237060547,22.850000381469727,23.15999984741211,14718
2026-04-15,24.399999618530273,24.399999618530273,25.0,23.059999465942383,23.059999465942383,66576
2026-04-16,24.760000228881836,24.760000228881836,24.950000762939453,23.350000381469727,24.0,39684
2026-04-17,24.6299991607666,24.6299991607666,25.299999237060547,24.25,25.299999237060547,31142
